class,mean_intensity,std_intensity,min_intensity,max_intensity,skewness,kurtosis
glioma,33.12762276785714,38.773039839045985,0,253,1.216120362905605,1.3700813599918678
meningioma,42.33636360012755,47.3490968228525,0,255,1.2273997973381152,1.414786245235463
notumor,60.410923549107146,63.85073552928576,0,255,0.9083026949562679,-0.01962435210868607
pituitary,47.98422034438776,41.763571548994456,0,254,0.7678123550747517,0.44771724757803444
